"FWC extensions", "FWC extensions"
"SAREhub Integration","SAREhub Integration"
"General Options","General Options"
"Version","Version"
"Documentation","Documentation"
"More info","More info"
"Enabled","Enabled"
"Tracking code", "Tracking code"
"Do not change, unless you have to", "Do not change, unless you have to"
"Domain", "Domain"
"Debug mode", "Debug mode"
"Tracking options","Tracking options"
"Login page visit","Login page visit"
"Category page visit","Category page visit"
"Product page visit", "Product page visit",
"Adding product to cart","Adding product to cart",
"Removing product from cart", "Removing product from cart",
"Checkout page visit", "Checkout page visit",
"Order success page visit", "Order success page visit"
"Tracked events", "Tracked events"
"Tracking Options", "Tracking Options"
"Agree to SAREhub","Agree to SAREhub"
"Should be consulted with SAREhub client service","Should be consulted with SAREhub client service"
"Page before order is placed","Page before order is placed"
"No","No"
"Yes","Yes"
"Documentation","Documentation"
"More info","More info"
"Version","Version"
"SAREhub terms and conditions","SAREhub terms and conditions"